strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	Antibiotic	Resistance.phenotype	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	index	Greater	Measurement.Round	Flq_mutations
G18255516	Klebsiella pneumoniae	strong	105	403420	1071318	5505093	no	-	ST1309	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G18255533	Klebsiella pneumoniae	strong	71	420489	982000	5174178	no	-	ST469	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255544	Klebsiella pneumoniae	strong	64	420489	1132526	5175538	no	-	ST469	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255559	Klebsiella pneumoniae	strong	114	780937	1161777	5605214	no	-	ST1248	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255566	Klebsiella pneumoniae	strong	114	866217	1942616	5603406	no	-	ST1248	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255572	Klebsiella pneumoniae	strong	204	213603	704284	5458582	no	-	ST5603	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255584	Klebsiella pneumoniae	strong	64	420489	1132351	5175153	no	-	ST469	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255586	Klebsiella pneumoniae	strong	69	370829	982175	5174328	no	-	ST469	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18255588	Klebsiella pneumoniae	strong	64	420489	974948	5169955	no	-	ST469	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18256172	Klebsiella pneumoniae	strong	93	314013	1161882	5527832	no	-	ST37	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18256176	Klebsiella pneumoniae	strong	82	314013	1431481	5510139	no	-	ST37	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G18256181	Klebsiella pneumoniae	strong	95	314013	562907	5528172	no	-	ST37	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20250086	Klebsiella pneumoniae	strong	153	238741	391674	5527256	no	-	ST1726	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20250087	Klebsiella pneumoniae	strong	57	673623	1352458	5495937	no	-	ST441	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20250088	Klebsiella pneumoniae	strong	91	423455	1012575	5532660	no	-	ST14	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20250096	Klebsiella pneumoniae	strong	94	217651	751954	5312888	no	-	ST3113	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20250098	Klebsiella pneumoniae	strong	51	997623	1724424	5394515	no	-	ST17	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20250099	Klebsiella pneumoniae	strong	58	997623	1724599	5395356	no	-	ST17	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20250103	Klebsiella pneumoniae	strong	102	425447	1350858	5361827	no	-	ST17	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20250104	Klebsiella pneumoniae	strong	102	425447	1350858	5365725	no	-	ST17	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20250105	Klebsiella pneumoniae	strong	279	241612	574124	5924625	no	-	ST513-1LV	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20250110	Klebsiella pneumoniae	strong	78	357217	980964	5567948	no	-	ST45	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20250111	Klebsiella pneumoniae	strong	58	479321	1060762	5554124	no	-	ST14	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20250112	Klebsiella pneumoniae	strong	60	864611	1147320	5557121	no	-	ST14	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20250116	Klebsiella pneumoniae	strong	198	80718	232926	5191720	no	-	ST1172-1LV	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20250222	Klebsiella pneumoniae	strong	69	427348	1613184	5601327	no	-	ST336	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20250307	Klebsiella pneumoniae	strong	54	810802	1019263	5514785	no	-	ST985	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20250308	Klebsiella pneumoniae	strong	55	810676	1019233	5510763	no	-	ST985	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20250311	Klebsiella pneumoniae	strong	63	411775	898953	5239018	no	-	ST198	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20250518	Klebsiella pneumoniae	strong	153	648358	1371432	5555843	no	-	ST323	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20250527	Klebsiella pneumoniae	strong	121	192772	508375	5694062	no	-	ST25	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20250528	Klebsiella pneumoniae	strong	74	357556	1018789	5467770	no	-	ST45	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20250530	Klebsiella pneumoniae	strong	128	192772	508377	5693813	no	-	ST25	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20250532	Klebsiella pneumoniae	strong	48	489540	1898755	5397471	no	-	ST711	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20250716	Klebsiella pneumoniae	strong	82	328597	1154707	5364830	no	-	ST420	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20250884	Klebsiella pneumoniae	strong	74	355420	575483	5446446	no	-	ST870	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20250910	Klebsiella pneumoniae	strong	68	420489	982000	5174930	no	-	ST469	ciprofloxacin	resistant	>=	64	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	64	64	-
G20250978	Klebsiella pneumoniae	strong	91	462524	930366	5399265	no	-	ST716	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20250990	Klebsiella pneumoniae	strong	52	1018625	1937007	5408181	no	-	ST45	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20251266	Klebsiella pneumoniae	strong	97	373001	1276855	5809414	no	-	ST70	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20251509	Klebsiella pneumoniae	strong	130	265646	569078	5490392	no	-	ST570	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20251560	Klebsiella pneumoniae	strong	72	308208	516719	5551881	no	-	ST86	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20251563	Klebsiella pneumoniae	strong	67	360840	1164132	5429828	no	-	ST23	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20251624	Klebsiella pneumoniae	strong	59	416220	924119	5121658	no	-	ST2-3LV	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20251721	Klebsiella pneumoniae	strong	99	307500	604469	5482223	no	-	ST219	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20251746	Klebsiella pneumoniae	strong	182	148386	269136	5706909	no	-	ST297	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20251758	Klebsiella pneumoniae	strong	106	348919	732458	5562911	no	-	ST394	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20251759	Klebsiella pneumoniae	strong	74	318216	663128	5560872	no	-	ST29	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20251766	Klebsiella pneumoniae	strong	135	167343	239761	5476636	no	-	ST297	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20251768	Klebsiella pneumoniae	strong	79	335644	749217	5516009	no	-	ST101	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20251770	Klebsiella pneumoniae	strong	97	373931	1302929	5434763	no	-	ST1787	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20251877	Klebsiella pneumoniae	strong	160	206249	461073	5616021	no	-	ST225	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20251893	Klebsiella pneumoniae	strong	79	333915	750253	5305499	no	-	ST661	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20252184	Klebsiella pneumoniae	strong	68	376977	1281071	5318197	no	-	ST2654	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20252202	Klebsiella pneumoniae	strong	87	306849	1287308	5439956	no	-	ST23	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20252203	Klebsiella pneumoniae	strong	95	173021	539081	5224659	no	-	ST3113	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	1	1	-
G20252211	Klebsiella pneumoniae	strong	89	456176	1132721	5395911	no	-	ST1774	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20252212	Klebsiella pneumoniae	strong	94	376106	680580	5586229	no	-	ST985	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	2	2	-
G20252230	Klebsiella pneumoniae	strong	178	139734	378173	5510019	no	-	ST152	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20252233	Klebsiella pneumoniae	strong	70	360924	1281071	5318367	no	-	ST2654	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
G20252265	Klebsiella pneumoniae	strong	86	728542	1132721	5395522	no	-	ST1774	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI		Vitek	Biomerieux		India_GHRU	4	4	-
ERR4635099	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	162	223657	835717	5914291	no	-	ST446-3LV	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635101	Klebsiella pneumoniae	strong	136	320901	1012963	5574649	no	-	ST14	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635102	Klebsiella pneumoniae	strong	106	355001	1103695	5799850	no	-	ST372	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635103	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	108	362094	816932	5534583	no	-	ST283	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635106	Klebsiella pneumoniae	strong	146	278829	455479	5282152	no	-	ST3157	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635107	Klebsiella pneumoniae	strong	178	266316	422265	5278568	no	-	ST3157	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635108	Klebsiella pneumoniae	strong	112	263874	399296	5524521	no	-	ST219	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635110	Klebsiella pneumoniae	strong	57	479889	912830	5512640	no	-	ST441	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635112	Klebsiella pneumoniae	strong	91	364500	1351534	5563403	no	-	ST300	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635115	Klebsiella pneumoniae	strong	70	254424	703441	5310572	no	-	ST14	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635118	Klebsiella pneumoniae	strong	58	419192	1394551	5329713	no	-	ST29	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635119	Klebsiella pneumoniae	strong	86	341727	703443	5310120	no	-	ST14	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635120	Klebsiella pneumoniae	strong	174	272170	605345	5628915	no	-	ST408	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635122	Klebsiella pneumoniae	strong	72	364133	1161144	5520846	no	-	ST1824	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635123	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	116	298705	637435	5534262	no	-	ST2300	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635124	Klebsiella quasipneumoniae subsp. quasipneumoniae	strong	169	309008	781420	5758373	no	-	ST196	ciprofloxacin	resistant		4	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	4	4	-
ERR4635130	Klebsiella pneumoniae	strong	164	349269	789861	5657825	no	-	ST111	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635131	Klebsiella pneumoniae	strong	138	358693	1285633	5665460	no	-	ST111	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	4	4	-
ERR4635132	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	120	344449	1187101	5595364	no	-	ST1548	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635133	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	169	265784	766139	5321082	no	-	ST841	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635137	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	103	280335	490353	5415547	no	-	ST1344-2LV	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635139	Klebsiella pneumoniae	strong	114	263360	746098	5585610	no	-	ST17	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635140	Klebsiella pneumoniae	strong	117	318419	516533	5637888	no	-	ST36	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635143	Klebsiella pneumoniae	strong	81	454308	963187	5474695	no	-	ST403	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635147	Klebsiella pneumoniae	strong	75	957022	1966318	5591321	no	-	ST636	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635149	Klebsiella pneumoniae	strong	74	427347	1038521	5438763	no	-	ST336	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635151	Klebsiella pneumoniae	strong	64	1033194	1966420	5591868	no	-	ST636	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635157	Klebsiella pneumoniae	strong	221	183040	405900	5474698	no	-	ST56-2LV	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635159	Klebsiella pneumoniae	strong	229	143129	454565	5436715	no	-	ST1916	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635161	Klebsiella pneumoniae	strong	145	370898	1013396	5734949	no	-	ST14	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635163	Klebsiella pneumoniae	strong	140	347482	1012816	5648242	no	-	ST14	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635165	Klebsiella pneumoniae	strong	134	136422	677747	5507170	no	-	ST36	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635167	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	107	440127	903982	5793325	no	-	ST644-2LV	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635169	Klebsiella pneumoniae	strong	93	301279	1243432	5412950	no	-	ST687	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635173	Klebsiella pneumoniae	strong	203	284012	417199	5569485	no	-	ST111	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635174	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	114	500310	1127535	5492262	no	-	ST1224-1LV	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635177	Klebsiella pneumoniae	strong	201	284012	417199	5573455	no	-	ST111	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635178	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	174	185397	536655	5961956	no	-	ST1859	ciprofloxacin	resistant		8	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	8	8	-
ERR4635182	Klebsiella pneumoniae	strong	151	144564	402520	5330119	no	-	ST299	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635183	Klebsiella pneumoniae	strong	134	223146	410173	5552326	no	-	ST39	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635185	Klebsiella pneumoniae	strong	284	233551	751965	5997659	no	-	ST397	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635188	Klebsiella pneumoniae	strong	149	420331	1423897	5466411	no	-	ST1958	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635190	Klebsiella pneumoniae	strong	343	202330	670116	5989920	no	-	ST397	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635191	Klebsiella pneumoniae	strong	142	318484	891743	5563275	no	-	ST40	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635194	Klebsiella pneumoniae	strong	302	230138	748237	5996152	no	-	ST397	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635196	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	108	375635	1354313	5719670	no	-	ST477	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635198	Klebsiella pneumoniae	strong	339	229411	670116	5972301	no	-	ST397	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635200	Klebsiella pneumoniae	strong	84	324027	604652	5461656	no	-	ST219	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635202	Klebsiella pneumoniae	strong	215	230084	670114	5876192	no	-	ST397	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635203	Klebsiella pneumoniae	strong	60	387181	1946301	5438915	no	-	ST1190	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635204	Klebsiella pneumoniae	strong	115	387021	1094668	5954714	no	-	ST372	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635212	Klebsiella pneumoniae	strong	184	287952	995526	5998409	no	-	ST111	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635214	Klebsiella pneumoniae	strong	119	431728	1508717	5636217	no	-	ST636	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635215	Klebsiella pneumoniae	strong	119	431726	1508892	5632018	no	-	ST636	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635217	Klebsiella pneumoniae	strong	94	388069	981793	5551740	no	-	ST278	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635219	Klebsiella pneumoniae	strong	63	1033194	1966420	5591396	no	-	ST636	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635223	Klebsiella pneumoniae	strong	61	1033013	1949325	5574628	no	-	ST636	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635224	Klebsiella pneumoniae	strong	236	368532	1422951	5928146	no	-	ST111	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635225	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	77	480356	1495816	5659554	no	-	ST138	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635227	Klebsiella pneumoniae	strong	65	927016	1047453	5560963	no	-	ST336	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	1	1	-
ERR4635236	Klebsiella pneumoniae	strong	75	428109	1104538	5407301	no	-	ST1427	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
ERR4635245	Klebsiella pneumoniae	strong	73	354172	808168	5582786	no	-	ST45	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	4	4	-
ERR4635246	Klebsiella pneumoniae	strong	92	349752	803851	5746979	no	-	ST14	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI					Philippines_MIC	2	2	-
